 time,x,y
35.5,9039.883672,8365.570904
35.6,9054.722347,8364.697948
35.7,9069.519473,8363.729438
35.8,9084.275168,8362.665639
35.9,9098.989546,8361.506818
36,9113.662724,8360.253243
36.1,9128.294818,8358.905177
36.2,9142.885941,8357.462886
36.3,9157.43621,8355.926634
36.4,9171.945737,8354.296683
36.5,9186.414638,8352.573295
36.6,9200.843026,8350.756734
36.7,9215.231015,8348.847258
36.8,9229.578717,8346.845129
36.9,9243.886246,8344.750606
37,9258.153713,8342.563948
37.1,9272.381232,8340.285413
37.2,9286.568913,8337.915257
37.3,9300.716869,8335.453738
37.4,9314.825211,8332.901111
37.5,9328.894049,8330.257631
37.6,9342.923495,8327.523553
37.7,9356.913658,8324.699131
37.8,9370.864649,8321.784617
37.9,9384.776577,8318.780263
38,9398.649552,8315.686322
38.1,9412.483682,8312.503044
38.2,9426.279077,8309.230678
38.3,9440.035844,8305.869476
38.4,9453.754093,8302.419685
38.5,9467.433931,8298.881553
38.6,9481.075465,8295.255328
38.7,9494.678802,8291.541257
38.8,9508.244051,8287.739585
38.9,9521.771316,8283.850557
39,9535.260706,8279.874419
39.1,9548.712325,8275.811414
39.2,9562.126279,8271.661786
39.3,9575.502675,8267.425776
39.4,9588.841616,8263.103627
39.5,9602.143209,8258.695581
39.6,9615.407557,8254.201876
39.7,9628.634764,8249.622755
39.8,9641.824936,8244.958454
39.9,9654.978175,8240.209214
40,9668.094585,8235.375272
40.1,9681.17427,8230.456864
40.2,9694.217331,8225.454229
40.3,9707.223871,8220.3676
40.4,9720.193993,8215.197214
40.5,9733.127799,8209.943305
40.6,9746.02539,8204.606108
40.7,9758.886868,8199.185854
40.8,9771.712334,8193.682777
40.9,9784.501889,8188.097108
41,9797.255632,8182.42908
41.1,9809.973666,8176.678922
41.2,9822.656088,8170.846864
41.3,9835.303,8164.933137
41.4,9847.914501,8158.937967
41.5,9860.490689,8152.861584
41.6,9873.031664,8146.704215
41.7,9885.537525,8140.466087
41.8,9898.008369,8134.147425
41.9,9910.444294,8127.748456
42,9922.845399,8121.269403
42.1,9935.211781,8114.710492
42.2,9947.543537,8108.071946
42.3,9959.840764,8101.353988
42.4,9972.103559,8094.55684
42.5,9984.332018,8087.680725
42.6,9996.526238,8080.725862
42.7,10008.68631,8073.692473
42.8,10020.81234,8066.580777
42.9,10032.90441,8059.390995
43,10044.96263,8052.123343
43.1,10056.98709,8044.778041
43.2,10068.97787,8037.355306
43.3,10080.93508,8029.855354
43.4,10092.85881,8022.278403
43.5,10104.74916,8014.624667
43.6,10116.60621,8006.894361
43.7,10128.43006,7999.0877
43.8,10140.2208,7991.204898
43.9,10151.97854,7983.246167
44,10163.70334,7975.211722
44.1,10175.39532,7967.101772
44.2,10187.05457,7958.91653
44.3,10198.68116,7950.656207
44.4,10210.2752,7942.321013
44.5,10221.83678,7933.911158
44.6,10233.36599,7925.42685
44.7,10244.86291,7916.868298
44.8,10256.32765,7908.23571
44.9,10267.76028,7899.529294
45,10279.1609,7890.749255
45.1,10290.5296,7881.8958
45.2,10301.86646,7872.969135
45.3,10313.17158,7863.969465
45.4,10324.44505,7854.896994
45.5,10335.68696,7845.751926
45.6,10346.89738,7836.534463
45.7,10358.07642,7827.24481
45.8,10369.22415,7817.883168
